step,agente,fila_Lucro,LU,fila_Variabilidade,VA,fila_Sustentabilidade,SU,fila
1,0,116.4090078125178,0.582045039062589,116.4090078125178,1.0,54.32420364584164,0.4666666666666667,0
1,1,13.956286681187663,0.06978143340593831,1.3956286681187664,0.1,13.956286681187663,1.0,2
1,2,73.08772206817594,0.36543861034087965,58.47017765454075,0.8,48.72514804545063,0.6666666666666667,2
2,0,31.327186206508554,0.15663593103254278,6.265437241301711,0.2,31.327186206508554,1.0,2
2,1,71.57528299447216,0.3578764149723608,57.26022639557773,0.8,38.76994495533909,0.5416666666666667,0
2,2,73.10330462573938,0.3655165231286969,73.10330462573938,1.0,41.42520595458565,0.5666666666666667,2
3,0,11.53432634867847,0.05767163174339235,1.153432634867847,0.1,11.53432634867847,1.0,2
3,1,65.04499600558653,0.32522498002793265,58.54049640502787,0.9,33.72703496585969,0.5185185185185186,0
3,2,84.44476385473519,0.4222238192736759,76.00028746926166,0.9,46.913757697075106,0.5555555555555556,0
4,0,12.095908727332805,0.060479543636664024,1.2095908727332807,0.1,8.063939151555205,0.6666666666666667,2
4,1,54.56668020564966,0.2728334010282483,43.65334416451973,0.8,22.73611675235402,0.41666666666666663,0
4,2,75.58150696560793,0.3779075348280396,75.58150696560793,1.0,40.31013704832423,0.5333333333333333,0
5,0,95.92324145818199,0.47961620729091,86.3309173123638,0.9,42.63255175919199,0.4444444444444444,0
5,1,52.76680144434584,0.26383400722172917,47.49012129991125,0.9,11.725955876521297,0.2222222222222222,0
5,2,67.34028527210887,0.33670142636054434,60.60625674489798,0.9,29.92901567649283,0.4444444444444444,0
6,0,71.9218201515282,0.35960910075764096,57.53745612122256,0.8,26.97068255682307,0.375,0
6,1,45.839087645974146,0.22919543822987073,36.67127011677932,0.8,19.099619852489226,0.41666666666666663,0
6,2,19.600201892758545,0.09800100946379273,5.880060567827563,0.3,10.889001051532524,0.5555555555555556,2
7,0,22.62750643535012,0.1131375321767506,6.788251930605036,0.3,12.570836908527845,0.5555555555555556,0
7,1,44.83649662203056,0.2241824831101528,35.869197297624446,0.8,28.0228103887691,0.625,0
7,2,64.01994656256177,0.32009973281280885,64.01994656256177,1.0,25.60797862502471,0.4,0
8,0,18.16474143671438,0.0908237071835719,3.632948287342876,0.2,9.08237071835719,0.5,0
8,1,25.71545194644999,0.12857725973224995,7.714635583934996,0.3,14.286362192472216,0.5555555555555556,0
8,2,47.51490718741828,0.2375745359370914,38.011925749934626,0.8,23.75745359370914,0.5,0
9,0,16.21050959422085,0.08105254797110424,3.24210191884417,0.2,8.105254797110424,0.5,0
9,1,25.018450193547014,0.12509225096773507,7.505535058064104,0.3,16.678966795698013,0.6666666666666667,0
9,2,16.569056101354505,0.08284528050677252,4.970716830406351,0.3,5.523018700451503,0.33333333333333337,0
10,0,9.777157072651123,0.048885785363255614,1.9554314145302247,0.2,3.2590523575503747,0.33333333333333337,0
10,1,2.5797885528552196,0.012898942764276097,0.5159577105710439,0.2,0.42996475880920315,0.16666666666666663,0
10,2,16.003042247367915,0.08001521123683958,3.200608449473583,0.2,5.334347415789305,0.33333333333333337,0
11,0,71.880742347179,0.35940371173589497,57.5045938777432,0.8,38.93540210472196,0.5416666666666667,0
11,1,19.42146349711185,0.09710731748555926,3.8842926994223705,0.2,12.947642331407902,0.6666666666666667,2
11,2,80.08376202721614,0.4004188101360807,72.07538582449453,0.9,59.32130520534528,0.7407407407407407,0
12,0,70.13287351658049,0.3506643675829024,70.13287351658049,1.0,28.053149406632198,0.4,0
12,1,86.98965483343714,0.43494827416718573,78.29068935009343,0.9,51.549425086481264,0.5925925925925926,2
12,2,22.23392942463414,0.1111696471231707,6.6701788273902425,0.3,14.822619616422763,0.6666666666666667,2
13,0,21.526011926073558,0.10763005963036779,2.152601192607356,0.1,21.526011926073558,1.0,0
13,1,65.48507926841262,0.3274253963420631,65.48507926841262,1.0,21.82835975613754,0.33333333333333337,0
13,2,62.83935305482121,0.31419676527410606,56.55541774933909,0.9,32.58336825064804,0.5185185185185186,0
14,0,6.024043001671866,0.03012021500835933,0.6024043001671866,0.1,6.024043001671866,1.0,2
14,1,62.800412306077405,0.314002061530387,56.52037107546967,0.9,32.5631767512994,0.5185185185185186,0
14,2,7.183783357951902,0.03591891678975951,2.1551350073855704,0.3,0.0,0.0,0
15,0,14.569934396018597,0.07284967198009298,2.9139868792037196,0.2,4.856644798672867,0.33333333333333337,0
15,1,29.368770899612592,0.14684385449806295,8.810631269883777,0.3,16.315983833118107,0.5555555555555556,0
15,2,39.006929000232326,0.19503464500116163,11.702078700069697,0.3,21.670516111240183,0.5555555555555556,0
16,0,8.083814367345317,0.040419071836726585,2.425144310203595,0.3,1.7964031927434037,0.2222222222222222,0
16,1,12.787457233740032,0.06393728616870016,2.5574914467480063,0.2,4.262485744580011,0.33333333333333337,0
16,2,116.65530960884003,0.5832765480442001,116.65530960884003,1.0,85.54722704648269,0.7333333333333334,0
17,0,2.0072953152578736,0.010036476576289368,0.40145906305157475,0.2,0.0,0.0,0
17,1,2.461142240585899,0.012305711202929495,0.4922284481171798,0.2,0.0,0.0,0
18,0,100.46036249847768,0.5023018124923884,90.41432624862992,0.9,70.6943291655954,0.7037037037037037,0
18,1,87.05496665669598,0.43527483328347993,69.64397332535678,0.8,61.66393471515965,0.7083333333333333,0
19,0,76.26180562375883,0.38130902811879414,76.26180562375883,1.0,40.67296299933804,0.5333333333333333,0
19,1,8.029181261031495,0.04014590630515747,1.605836252206299,0.2,5.35278750735433,0.6666666666666667,2
20,0,21.36113412722879,0.10680567063614395,4.272226825445759,0.2,17.800945106023992,0.8333333333333334,0
20,1,71.2366289538396,0.356183144769198,64.11296605845564,0.9,36.93751130939832,0.5185185185185186,0
20,2,72.70289169399898,0.3635144584699949,72.70289169399898,1.0,33.92801612386619,0.4666666666666667,0
21,0,85.42792335555178,0.4271396167777589,85.42792335555178,1.0,48.40915656814601,0.5666666666666667,0
21,1,28.510446903097286,0.14255223451548643,8.553134070929186,0.3,19.00696460206486,0.6666666666666667,2
21,2,69.83748075135878,0.3491874037567939,69.83748075135878,1.0,25.607076275498223,0.3666666666666667,2
22,1,60.90303219558803,0.3045151609779402,54.81272897602923,0.9,31.57935002734195,0.5185185185185186,2
22,2,62.23649049174919,0.31118245245874593,62.23649049174919,1.0,16.596397464466452,0.2666666666666667,2
23,1,76.89969022345387,0.3844984511172694,69.2097212011085,0.9,45.57018679908377,0.5925925925925926,2
24,0,62.37719324549029,0.31188596622745146,62.37719324549029,1.0,27.030117073045794,0.43333333333333335,2
24,1,68.1502322200752,0.34075116110037595,68.1502322200752,1.0,31.803441702701758,0.4666666666666667,2
25,0,21.526011926073558,0.10763005963036779,2.152601192607356,0.1,21.526011926073558,1.0,2
25,1,72.04222243039213,0.36021111215196067,64.83800018735292,0.9,29.35053506423383,0.40740740740740744,0
26,0,51.43562425142812,0.2571781212571406,46.29206182628531,0.9,24.765300565502432,0.4814814814814815,2
26,1,55.696181230038384,0.27848090615019194,44.55694498403071,0.8,20.886067961264395,0.375,2
26,2,70.06721886048113,0.35033609430240564,63.06049697443302,0.9,38.9262327002673,0.5555555555555556,2
27,0,0.9866966985497022,0.004933483492748511,0.09866966985497022,0.1,0.0,0.0,2
27,1,59.061415090217125,0.29530707545108564,59.061415090217125,1.0,21.65585219974628,0.3666666666666667,2
27,2,2.360611413933774,0.01180305706966887,0.23606114139337742,0.1,2.360611413933774,1.0,2
28,0,57.453159479163666,0.2872657973958183,45.96252758333094,0.8,28.726579739581833,0.5,2
28,1,2.1389169740607525,0.010694584870303763,0.21389169740607528,0.1,0.7129723246869176,0.33333333333333337,2
28,2,12.241013065618887,0.061205065328094437,2.4482026131237777,0.2,8.16067537707926,0.6666666666666667,0
29,0,12.131796001893653,0.06065898000946826,1.2131796001893653,0.1,12.131796001893653,1.0,0
29,1,87.3509975859453,0.43675498792972645,87.3509975859453,1.0,43.67549879297265,0.5,0
29,2,21.526011926073558,0.10763005963036779,2.152601192607356,0.1,21.526011926073558,1.0,2
30,0,4.658154951269601,0.02329077475634801,0.9316309902539204,0.2,1.5527183170898673,0.33333333333333337,2
30,1,54.382427808358706,0.2719121390417935,43.50594224668697,0.8,20.393410428134516,0.375,0
30,2,17.552931608321018,0.08776465804160509,5.265879482496305,0.3,9.751628671289454,0.5555555555555556,2
31,1,19.37746558863084,0.0968873279431542,5.8132396765892524,0.3,6.459155196210281,0.33333333333333337,0
31,2,8.654318822954272,0.043271594114771356,0.8654318822954272,0.1,2.8847729409847576,0.33333333333333337,0
32,1,18.659770759047625,0.09329885379523813,5.597931227714287,0.3,6.219923586349209,0.33333333333333337,0
32,2,93.45919551063243,0.46729597755316216,93.45919551063243,1.0,56.07551730637945,0.6,0
33,1,6.024043001671866,0.03012021500835933,0.6024043001671866,0.1,6.024043001671866,1.0,0
33,2,22.255949684942216,0.11127974842471108,4.451189936988444,0.2,18.546624737451847,0.8333333333333334,0
34,1,66.62812644693535,0.33314063223467677,53.302501157548285,0.8,36.090235158756656,0.5416666666666667,0
34,2,8.870925651103041,0.044354628255515206,1.7741851302206084,0.2,5.913950434068695,0.6666666666666667,2
35,1,21.657305708235576,0.10828652854117787,6.497191712470673,0.3,7.219101902745193,0.33333333333333337,2
35,2,69.8993240625531,0.3494966203127655,62.9093916562978,0.9,33.655230104192235,0.4814814814814815,2
36,0,94.06308599205656,0.4703154299602828,94.06308599205656,1.0,59.57328779496915,0.6333333333333333,2
36,1,3.2192173561854656,0.01609608678092733,0.3219217356185466,0.1,0.0,0.0,2
36,2,46.60546550239429,0.23302732751197144,41.94491895215486,0.9,15.535155167464765,0.33333333333333337,2
37,0,6.886137174960776,0.034430685874803885,2.065841152488233,0.3,1.5302527055468391,0.2222222222222222,2
37,1,7.5679846619096915,0.03783992330954846,0.7567984661909692,0.1,2.5226615539698973,0.33333333333333337,2
37,2,14.288818261272967,0.07144409130636484,1.4288818261272969,0.1,9.525878840848646,0.6666666666666667,0
38,0,13.273362467470209,0.06636681233735105,2.6546724934940418,0.2,11.061135389558508,0.8333333333333334,0
38,2,87.58435035142763,0.43792175175713816,78.82591531628486,0.9,64.87729655661306,0.7407407407407407,0
39,0,1.9871045175515467,0.009935522587757734,0.19871045175515467,0.1,0.0,0.0,0
39,2,8.053002518498372,0.040265012592491864,0.8053002518498373,0.1,5.368668345665582,0.6666666666666667,2
40,2,85.28304225402208,0.4264152112701104,85.28304225402208,1.0,45.484289202145106,0.5333333333333333,0
41,2,79.87027273117336,0.39935136365586676,79.87027273117336,1.0,37.27279394121423,0.4666666666666667,0
42,2,13.922433222891085,0.06961216611445542,2.7844866445782173,0.2,4.640811074297029,0.33333333333333337,0
43,2,60.61421538487701,0.30307107692438506,54.552793846389314,0.9,29.184622222348192,0.4814814814814815,0
44,0,82.8764059934622,0.414382029967311,74.58876539411598,0.9,49.111944292422045,0.5925925925925926,0
44,1,30.076903486654068,0.15038451743327033,9.02307104599622,0.3,20.051268991102713,0.6666666666666667,0
44,2,5.5547993057697145,0.02777399652884857,0.5554799305769714,0.1,5.5547993057697145,1.0,0
45,0,74.81387893908706,0.3740693946954353,67.33249104517836,0.9,38.79238167211922,0.5185185185185186,0
45,1,78.73354738959279,0.3936677369479639,62.98683791167423,0.8,49.20846711849549,0.625,0
45,2,70.09022714483443,0.35045113572417214,70.09022714483443,1.0,30.372431762761586,0.43333333333333335,2
46,0,49.292464237966655,0.24646232118983327,44.36321781416999,0.9,14.605174589027156,0.2962962962962963,2
46,2,4.969846955410333,0.024849234777051664,0.9939693910820666,0.2,1.6566156518034443,0.33333333333333337,2
47,0,79.71353212503044,0.3985676606251522,71.7421789125274,0.9,53.142354750020296,0.6666666666666667,0
47,1,14.248669822683418,0.07124334911341709,4.274600946805025,0.3,7.915927679268566,0.5555555555555556,2
47,2,13.724411142038823,0.06862205571019411,2.7448822284077647,0.2,4.574803714012941,0.33333333333333337,0
48,0,3.314385256201361,0.016571926281006805,0.6628770512402723,0.2,0.5523975427002268,0.16666666666666663,0
48,1,90.15645528042528,0.45078227640212637,90.15645528042528,1.0,48.083442816226814,0.5333333333333333,0
48,2,1.9280608035156428,0.009640304017578214,0.1928060803515643,0.1,0.6426869345052143,0.33333333333333337,2
49,0,65.61378145325368,0.3280689072662684,52.491025162602945,0.8,24.605168044970128,0.375,2
49,1,67.25532923061687,0.33627664615308434,67.25532923061687,1.0,29.143975999933975,0.43333333333333335,2
49,2,30.725334776881358,0.1536266738844068,9.217600433064407,0.3,23.897482604241056,0.7777777777777778,2
50,0,36.93672261198368,0.18468361305991843,29.54937808958695,0.8,12.31224087066123,0.33333333333333337,0
50,1,61.28465461615571,0.30642327308077855,55.156189154540144,0.9,31.777228319488152,0.5185185185185186,0
51,0,112.38762639702827,0.5619381319851413,112.38762639702827,1.0,78.67133847791979,0.7,2
51,1,18.95351574890134,0.0947675787445067,3.790703149780268,0.2,12.635677165934228,0.6666666666666667,2
52,0,72.73759982937464,0.3636879991468732,72.73759982937464,1.0,33.94421325370817,0.4666666666666667,2
