step,agente,lucro,variabilidade,sustentabilidade,erroEls,erro_anteriorEls,erroEsv,erro_anteriorEsv,erroEvl,erro_anteriorEvl,saidaEvl,saidaEls,saidaEsv,fila
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.582045039062589,1.0,0.4666666666666667,0.2472393694198335,0,-0.5333333333333333,0,0.7180801018604114,0,-0.5,-0.5,0.5,2
1,2,0.582045039062589,1.0,0.4666666666666667,0.2472393694198335,0,-0.5333333333333333,0,0.7180801018604114,0,-0.5,-0.5,0.5,2
2,0,0.582045039062589,1.0,0.4666666666666667,0.2472393694198335,0,-0.5333333333333333,0,0.7180801018604114,0,-0.5,-0.5,0.5,2
2,1,0.3693404850475659,0.6,0.7333333333333334,-0.4963538840260466,0.2472393694198335,0.22222222222222238,-0.5333333333333333,0.6245172795577186,0.7180801018604114,0.0,0.5,-0.5,0
2,2,0.36551912835583084,0.6666666666666666,0.6694444444444446,-0.4539963227879707,-0.4963538840260466,0.004166666666666985,0.22222222222222238,0.8238899552684158,0.6245172795577186,-0.5,0.01528487752384824,0.09166666666666604,2
3,0,0.3655184770490474,0.75,0.64375,-0.4322043074966255,-0.4539963227879707,-0.1416666666666666,0.004166666666666985,1.0518798558557154,0.8238899552684158,-0.5,0.05641596941730956,0.5,2
3,1,0.30394910798791636,0.62,0.7150000000000001,-0.5748963524644527,-0.4322043074966255,0.15322580645161304,-0.1416666666666666,1.0398151654541075,1.0518798558557154,-0.07587061919678409,0.5,-0.5,0
3,2,0.30394910798791636,0.62,0.7150000000000001,-0.5748963524644527,-0.4322043074966255,0.15322580645161304,-0.1416666666666666,1.0398151654541075,1.0518798558557154,-0.07587061919678409,0.5,-0.5,0
4,0,0.3236615598688763,0.6666666666666666,0.6884259259259259,-0.5298527442388885,-0.5748963524644527,0.032638888888888884,0.15322580645161304,1.0597647336827722,1.0398151654541075,-0.25959654582931824,0.009912783548871618,0.03472222222222223,2
4,1,0.28606412897856026,0.5857142857142856,0.6853174603174603,-0.5825815836560673,-0.5298527442388885,0.1700542005420056,0.032638888888888884,1.047492944346697,1.0597647336827722,-0.07545642132784938,0.5,-0.5,0
4,2,0.28606412897856026,0.5857142857142856,0.6853174603174603,-0.5825815836560673,-0.5298527442388885,0.1700542005420056,0.032638888888888884,1.047492944346697,1.0597647336827722,-0.07545642132784938,0.5,-0.5,0
5,0,0.29754455470974517,0.6375,0.6663194444444445,-0.5534505901177352,-0.5825815836560673,0.045206971677560014,0.1700542005420056,1.1425362686333866,1.047492944346697,-0.5,0.041738012923335926,0.009586056644879982,0
5,1,0.29754455470974517,0.6375,0.6663194444444445,-0.5534505901177352,-0.5825815836560673,0.045206971677560014,0.1700542005420056,1.1425362686333866,1.047492944346697,-0.5,0.041738012923335926,0.009586056644879982,0
5,2,0.29754455470974517,0.6375,0.6663194444444445,-0.5534505901177352,-0.5825815836560673,0.045206971677560014,0.1700542005420056,1.1425362686333866,1.047492944346697,-0.5,0.041738012923335926,0.009586056644879982,0
6,0,0.29754455470974517,0.6375,0.6663194444444445,-0.5534505901177352,-0.5825815836560673,0.045206971677560014,0.1700542005420056,1.1425362686333866,1.047492944346697,-0.5,0.041738012923335926,0.009586056644879982,0
6,1,0.29754455470974517,0.6375,0.6663194444444445,-0.5534505901177352,-0.5825815836560673,0.045206971677560014,0.1700542005420056,1.1425362686333866,1.047492944346697,-0.5,0.041738012923335926,0.009586056644879982,0
6,2,0.2899502084342036,0.6555555555555554,0.6385802469135803,-0.5459455411663511,-0.5534505901177352,-0.025894538606402794,0.045206971677560014,1.260924588037729,1.1425362686333866,-0.5,0.0849899020972317,0.1915436832936179,2
