3,965
6,1142
9,1034
12,714
15,727
18,1106
21,1067
24,1072
27,974
30,1270
33,685
36,978
39,942
42,1101
45,1287
48,785
51,1302
54,959
57,763
60,978
63,1069
66,816
69,423
72,1413
75,1136
78,535
81,810
84,771
87,1058
90,1026
93,1069
96,407
99,820
102,946
105,495
108,983
111,1391
114,1110
117,827
120,841
123,857
126,839
129,950
132,854
135,645
138,929
141,996
144,835
147,498
150,948
153,1047
156,627
159,1314
162,1761
165,1026
168,736
171,1296
174,783
177,854
180,884
183,739
186,873
189,773
192,947
195,547
198,688
201,1110
204,754
207,703
210,1186
213,819
216,974
219,660
222,855
225,589
228,1455
231,786
234,683
237,605
240,1106
243,856
246,1066
249,649
252,904
255,598
258,779
261,1013
264,397
267,643
270,781
273,786
276,761
279,839
282,439
285,1183
288,673
291,803
294,1024
297,978
300,1332
303,832
306,813
309,833
312,873
315,909
318,509
321,893
324,752
327,1151
330,650
333,520
336,265
339,358
342,987
345,792
348,935
351,931
354,860
357,1013
360,1095
363,992
366,819
369,890
372,841
375,776
378,660
381,887
384,885
387,481
390,660
393,844
396,1097
399,457
402,889
405,957
408,635
411,576
414,709
417,1144
420,894
423,843
426,917
429,908
432,751
435,593
438,799
441,1168
444,763
447,769
450,980
453,673
456,946
459,904
462,1028
465,426
468,711
471,736
474,662
477,1204
480,619
483,281
486,472
489,714
492,592
495,536
498,612
501,687
504,548
507,741
510,536
513,626
516,940
519,880
522,1417
525,1049
528,484
531,812
534,637
537,1050
540,590
543,441
546,524
549,703
552,640
555,338
558,690
561,798
564,695
567,833
570,727
573,957
576,963
579,1060
582,777
585,444
588,809
591,584
594,882
597,1005
600,1203
603,582
606,692
609,1282
612,704
615,647
618,642
621,865
624,403
627,808
630,851
633,503
636,506
639,580
642,684
645,952
648,597
651,932
654,889
657,795
660,1119
663,154
666,717
669,921
672,767
675,772
678,540
681,538
684,497
687,725
690,417
693,674
696,1036
699,549
702,520
705,1052
708,579
711,656
714,1260
717,404
720,707
723,784
726,451
729,841
732,560
735,513
738,878
741,793
744,715
747,803
750,835
753,988
756,602
759,837
762,373
765,964
768,378
771,439
774,1044
777,642
780,640
783,779
786,785
789,893
792,493
795,506
798,842
801,923
804,982
807,614
810,637
813,606
816,1054
819,641
822,742
825,710
828,1136
831,594
834,647
837,744
840,704
843,654
846,353
849,616
852,1108
855,864
858,731
861,567
