Step,Agent_ID,Action
1,0,4
1,1,55
1,2,39
2,0,0
2,1,92
2,2,71
3,0,4
3,1,93
3,2,30
4,0,13
4,1,57
4,2,73
5,0,61
5,1,100
5,2,56
6,0,83
6,1,70
6,2,73
7,0,64
7,1,22
7,2,43
8,0,0
8,1,28
8,2,102
9,0,99
9,1,76
9,2,92
10,0,42
10,1,59
10,2,26
11,0,47
11,1,25
11,2,16
12,0,88
12,1,63
12,2,62
13,0,9
13,1,24
13,2,66
14,0,11
14,1,19
14,2,84
15,0,10
15,1,82
15,2,50
16,0,95
16,1,4
16,2,76
17,0,18
17,1,68
17,2,3
18,0,22
18,1,29
18,2,91
19,0,4
19,1,79
19,2,39
20,0,98
20,1,86
20,2,48
21,0,95
21,1,89
21,2,11
22,0,83
22,1,75
22,2,6
23,0,25
23,1,7
23,2,45
24,0,28
24,1,6
24,2,69
25,0,20
25,1,49
25,2,31
26,0,97
26,1,16
26,2,21
27,0,48
27,1,46
27,2,73
28,0,9
28,1,16
28,2,23
29,0,67
29,1,69
29,2,72
30,0,101
30,1,32
30,2,76
31,0,45
31,1,49
31,2,74
32,0,6
32,1,62
32,2,66
33,0,87
33,1,50
33,2,85
34,0,88
34,1,50
34,2,75
35,0,12
35,1,13
35,2,43
36,0,58
36,1,88
36,2,72
37,0,32
37,1,32
37,2,43
38,0,99
38,1,87
38,2,93
39,0,65
39,1,101
39,2,5
40,0,35
40,1,92
40,2,39
41,0,42
41,1,48
41,2,19
42,0,12
42,1,31
42,2,10
43,0,84
43,1,75
43,2,24
44,0,85
44,1,75
44,2,61
45,0,1
45,1,2
45,2,84
46,0,78
46,1,38
46,2,96
47,0,18
47,1,12
47,2,5
48,0,58
48,1,77
48,2,55
49,0,23
49,1,55
49,2,15
50,0,36
50,1,89
50,2,4
51,0,58
51,1,57
51,2,77
52,0,15
52,1,29
52,2,32
53,0,50
53,1,24
53,2,66
54,0,44
54,1,49
54,2,46
55,0,19
55,1,0
55,2,6
56,0,45
56,1,22
56,2,33
57,0,51
57,1,58
57,2,98
58,0,61
58,1,75
58,2,71
59,0,22
59,1,43
59,2,44
60,0,9
60,1,25
60,2,86
61,0,84
61,1,40
61,2,80
62,0,34
62,1,64
62,2,95
63,0,4
63,1,15
63,2,90
64,0,100
64,1,4
64,2,47
65,0,38
65,1,23
65,2,22
66,0,1
66,1,95
66,2,81
67,0,0
67,1,25
67,2,42
68,0,39
68,1,6
68,2,55
69,0,53
69,1,79
69,2,86
70,0,92
70,1,41
70,2,73
71,0,100
71,1,34
71,2,84
72,0,22
72,1,74
72,2,71
73,0,30
73,1,59
73,2,102
74,0,66
74,1,18
74,2,93
75,0,31
75,1,70
75,2,61
76,0,88
76,1,43
76,2,5
77,0,88
77,1,79
77,2,80
78,0,74
