Step,Agent_ID,Action
1,0,98
1,1,83
1,2,70
2,0,92
2,1,74
2,2,65
3,0,60
3,1,74
3,2,58
4,0,21
4,1,32
4,2,74
5,0,63
5,1,2
5,2,55
6,0,65
6,1,71
6,2,33
7,0,54
7,1,87
7,2,33
8,0,21
8,1,81
8,2,28
9,0,98
9,1,83
9,2,60
10,0,88
10,1,81
10,2,64
11,0,73
11,1,28
11,2,22
12,0,14
12,1,1
12,2,28
13,0,15
13,1,12
13,2,57
14,0,16
14,1,86
14,2,13
15,0,42
15,1,41
15,2,74
16,0,0
16,1,102
16,2,83
17,0,72
17,1,98
17,2,42
18,0,45
18,1,28
18,2,28
19,0,87
19,1,81
19,2,57
20,0,32
20,1,83
20,2,16
21,0,100
21,1,103
21,2,29
22,0,97
22,1,70
22,2,41
23,0,82
23,1,0
23,2,31
24,0,5
24,1,13
24,2,59
25,0,11
25,1,28
25,2,37
26,0,65
26,1,16
26,2,0
27,0,75
27,1,34
27,2,10
28,0,83
28,1,25
28,2,15
29,0,77
29,1,6
29,2,73
30,0,55
30,1,40
30,2,79
31,0,62
31,1,65
31,2,51
32,0,11
32,1,39
32,2,99
33,0,75
33,1,25
33,2,83
34,0,59
34,1,9
34,2,52
35,0,26
35,1,32
35,2,4
36,0,31
36,1,18
36,2,103
37,0,36
37,1,29
37,2,81
38,0,93
38,1,35
38,2,78
39,0,71
39,1,84
39,2,19
40,0,93
40,1,83
40,2,70
41,0,76
41,1,61
41,2,85
42,0,104
42,1,12
42,2,75
43,0,68
43,1,2
43,2,40
44,0,32
44,1,87
44,2,31
45,0,67
45,1,82
45,2,20
46,0,36
46,1,30
46,2,17
47,0,25
47,1,56
47,2,105
48,0,40
48,1,99
48,2,54
49,0,82
49,1,94
49,2,75
50,0,28
50,1,54
50,2,9
51,0,52
51,1,38
51,2,83
52,0,60
52,1,12
52,2,93
53,0,7
53,1,30
53,2,16
54,0,32
54,1,93
54,2,80
55,0,90
55,1,98
55,2,42
56,0,99
56,1,5
56,2,86
57,0,83
57,1,60
57,2,90
58,0,93
58,1,73
58,2,71
59,0,10
59,1,81
59,2,87
60,0,2
60,1,27
60,2,101
61,0,39
61,1,0
61,2,16
62,0,84
62,1,45
62,2,89
63,0,60
63,1,61
63,2,12
64,0,55
64,1,31
64,2,76
65,0,90
65,1,30
65,2,40
66,0,86
66,1,55
66,2,95
67,0,41
67,1,36
67,2,17
68,0,59
68,1,75
68,2,44
69,0,44
69,1,2
69,2,92
70,0,93
70,1,28
70,2,10
71,0,99
71,1,19
71,2,32
72,0,40
72,1,21
72,2,50
73,0,57
73,1,80
73,2,53
74,0,21
74,1,83
74,2,104
75,0,4
75,1,1
75,2,18
76,0,14
76,1,83
76,2,35
77,0,88
77,1,63
77,2,61
78,0,59
78,1,101
78,2,63
79,0,49
79,1,52
79,2,80
80,0,52
80,1,83
80,2,62
81,0,75
81,1,34
81,2,98
82,0,42
82,1,99
82,2,24
83,0,96
83,1,9
83,2,45
84,0,44
84,1,58
84,2,84
85,0,20
85,1,22
85,2,76
86,0,96
86,1,60
86,2,34
87,0,4
87,1,66
87,2,10
88,0,48
88,1,91
88,2,30
89,0,18
89,1,31
89,2,92
90,0,1
90,1,35
90,2,36
91,0,90
91,1,0
91,2,61
92,0,94
92,1,41
92,2,17
93,0,96
93,1,17
93,2,103
94,0,8
94,1,83
94,2,20
95,0,54
95,1,4
95,2,85
96,0,23
96,1,105
96,2,28
97,0,12
97,1,33
97,2,28
98,0,92
98,1,1
98,2,14
99,0,50
99,1,19
99,2,65
100,0,70
100,1,38
100,2,69
