1,0,0,0,0,0
1,1,0,0,0,0
1,2,0,0,0,0
2,0,0.6394036703522678,1.0,0.43333333333333335,0
2,1,0.6394036703522678,1.0,0.43333333333333335,0
2,2,0.5941179551040163,1.0,0.5333333333333333,0
3,0,0.46256683066861753,0.7333333333333334,0.6888888888888888,0
3,1,0.46256683066861753,0.7333333333333334,0.6888888888888888,0
3,2,0.46256683066861753,0.7333333333333334,0.6888888888888888,0
4,0,0.3936754568147388,0.625,0.6555555555555554,2
4,1,0.3300118728764959,0.52,0.7244444444444443,2
4,2,0.3300118728764959,0.52,0.7244444444444443,0
5,0,0.30003475652025813,0.46666666666666673,0.7703703703703703,2
5,1,0.2757685157782213,0.42857142857142866,0.7555555555555555,2
5,2,0.2757685157782213,0.42857142857142866,0.7555555555555555,0
6,0,0.2757685157782213,0.42857142857142866,0.7555555555555555,0
6,1,0.278442204206547,0.475,0.7184027777777777,0
6,2,0.29195268563766413,0.5333333333333333,0.6867283950617283,0
7,0,0.29195268563766413,0.5333333333333333,0.6867283950617283,0
7,1,0.27149342220161293,0.5,0.6513888888888888,2
7,2,0.282230050774307,0.5363636363636364,0.6426767676767676,0
8,0,0.2671155192373779,0.5083333333333334,0.630787037037037,2
8,1,0.2470824894281973,0.48461538461538467,0.6207264957264956,0
8,2,0.2470824894281973,0.48461538461538467,0.6207264957264956,0
9,0,0.2342547847679009,0.46428571428571436,0.6121031746031745,2
9,1,0.2342547847679009,0.46428571428571436,0.6121031746031745,0
9,2,0.22199262786274584,0.4466666666666667,0.5935185185185184,0
10,0,0.2104506490962152,0.43125,0.5564236111111112,0
10,1,0.20291542242243685,0.4176470588235294,0.5433006535947713,2
10,2,0.20291542242243685,0.4176470588235294,0.5433006535947713,0
11,0,0.19347797288824067,0.4,0.5501543209876544,2
11,1,0.19347797288824067,0.4,0.5501543209876544,0
11,2,0.21678931036660845,0.4263157894736842,0.5484892787524367,0
12,0,0.24118246837730228,0.45499999999999996,0.5460648148148148,0
12,1,0.2581919202345144,0.4809523809523809,0.5375220458553793,0
12,2,0.2581919202345144,0.4809523809523809,0.5375220458553793,0
13,0,0.2581919202345144,0.4809523809523809,0.5375220458553793,0
13,1,0.2581919202345144,0.4809523809523809,0.5375220458553793,0
13,2,0.2729882279943065,0.5045454545454545,0.5358164983164984,0
14,0,0.2672548321916534,0.4956521739130435,0.5270128824476652,0
14,1,0.2672548321916534,0.4956521739130435,0.5270128824476652,0
14,2,0.2780630560114396,0.5083333333333333,0.5276234567901236,0
15,0,0.2780630560114396,0.5083333333333333,0.5276234567901236,0
15,1,0.2730017661450502,0.5,0.5198518518518519,0
15,2,0.2730017661450502,0.5,0.5198518518518519,0
16,0,0.26310248912716494,0.4846153846153846,0.49985754985754993,0
16,1,0.26310248912716494,0.4846153846153846,0.49985754985754993,0
16,2,0.2549847326725174,0.4703703703703703,0.493689986282579,0
17,0,0.2549847326725174,0.4703703703703703,0.493689986282579,0
17,1,0.2549847326725174,0.4703703703703703,0.493689986282579,0
17,2,0.26625439472719653,0.48214285714285715,0.49986772486772496,0
18,0,0.26625439472719653,0.48214285714285715,0.49986772486772496,0
18,1,0.27539596886099854,0.5,0.4941251596424011,0
18,2,0.27539596886099854,0.5,0.4941251596424011,0
19,0,0.27539596886099854,0.5,0.4941251596424011,0
19,1,0.27539596886099854,0.5,0.4941251596424011,0
19,2,0.27539596886099854,0.5,0.4941251596424011,0
20,0,0.27539596886099854,0.5,0.4941251596424011,0
20,1,0.28350249703408176,0.5133333333333333,0.4912345679012347,0
20,2,0.2757329913910701,0.5032258064516129,0.48076463560334537,0
21,0,0.2677197815331104,0.490625,0.4761574074074074,0
21,1,0.2612749819029905,0.47878787878787876,0.4718294051627385,0
21,2,0.26001340441654697,0.4735294117647058,0.4775599128540305,0
22,0,0.2706888008256406,0.4828571428571428,0.4817724867724868,0
22,1,0.2706888008256406,0.4828571428571428,0.4817724867724868,0
22,2,0.2706888008256406,0.4828571428571428,0.4817724867724868,0
23,0,0.2706888008256406,0.4828571428571428,0.4817724867724868,0
23,1,0.2750625629709901,0.49166666666666664,0.47996399176954735,0
23,2,0.2750625629709901,0.49166666666666664,0.47996399176954735,0
24,0,0.2788253444261171,0.5054054054054054,0.476001001001001,0
24,1,0.2757251068220617,0.5,0.4722465886939571,0
24,2,0.2757251068220617,0.5,0.4722465886939571,0
25,0,0.2711165805565414,0.4948717948717949,0.468684710351377,0
25,1,0.2711165805565414,0.4948717948717949,0.468684710351377,0
25,2,0.2711165805565414,0.4948717948717949,0.468684710351377,0
26,0,0.2790179862610144,0.505,0.46900462962962963,0
