Step,Agent_ID,Action
1,0,56
1,1,12
1,2,45
2,0,54
2,1,67
2,2,77
3,0,91
3,1,67
3,2,16
4,0,55
4,1,100
4,2,11
5,0,87
5,1,45
5,2,30
6,0,1
6,1,90
6,2,4
7,0,95
7,1,35
7,2,78
8,0,60
8,1,28
8,2,41
9,0,92
9,1,31
9,2,68
10,0,90
10,1,8
10,2,42
11,0,62
11,1,48
11,2,98
12,0,70
12,1,98
12,2,22
13,0,92
13,1,61
13,2,58
14,0,97
14,1,49
14,2,99
15,0,41
15,1,28
15,2,80
16,0,0
16,1,38
16,2,60
17,0,12
17,1,98
17,2,71
18,0,73
18,1,65
18,2,34
19,0,15
19,1,24
19,2,86
20,0,28
20,1,80
20,2,57
21,0,45
21,1,3
21,2,29
22,0,73
22,1,12
22,2,54
23,0,41
23,1,11
23,2,92
24,0,76
24,1,46
24,2,15
25,0,91
25,1,12
25,2,39
26,0,30
26,1,7
26,2,73
27,0,71
27,1,80
27,2,13
28,0,11
28,1,55
28,2,64
29,0,63
29,1,10
29,2,64
30,0,28
30,1,5
30,2,65
31,0,90
31,1,71
31,2,92
32,0,46
32,1,11
32,2,59
33,0,9
33,1,49
33,2,100
34,0,24
34,1,37
34,2,13
35,0,2
35,1,10
35,2,33
36,0,42
36,1,50
36,2,15
37,0,36
37,1,36
37,2,92
38,0,30
38,1,80
38,2,1
39,0,33
39,1,61
39,2,69
40,0,92
40,1,29
40,2,79
41,0,28
41,1,56
41,2,82
42,0,95
42,1,71
42,2,82
43,0,5
43,1,20
43,2,75
44,0,42
44,1,73
44,2,11
45,0,89
45,1,9
45,2,43
46,0,85
46,1,47
46,2,91
47,0,23
47,1,51
47,2,43
48,0,84
48,1,62
48,2,68
49,0,38
49,1,64
49,2,42
50,0,18
50,1,71
50,2,24
51,0,27
51,1,63
51,2,50
52,0,21
52,1,1
52,2,28
53,0,22
53,1,92
53,2,86
54,0,85
54,1,51
54,2,52
55,0,14
55,1,13
55,2,19
56,0,71
56,1,77
56,2,65
57,0,100
57,1,57
57,2,6
58,0,41
58,1,16
58,2,6
59,0,9
59,1,67
59,2,83
60,0,76
60,1,87
60,2,77
61,0,29
61,1,17
61,2,89
62,0,2
62,1,20
62,2,17
63,0,77
63,1,95
63,2,8
64,0,91
64,1,19
64,2,32
65,0,4
65,1,14
65,2,56
66,0,31
66,1,64
66,2,9
67,0,80
67,1,34
67,2,92
68,0,55
68,1,100
68,2,97
69,0,95
69,1,35
69,2,46
70,0,9
70,1,7
70,2,64
71,0,61
71,1,83
71,2,66
72,0,16
72,1,17
72,2,79
73,0,78
73,1,34
73,2,62
74,0,6
74,1,34
74,2,17
75,0,96
75,1,17
75,2,20
76,0,86
76,1,96
76,2,94
77,0,30
77,1,53
77,2,8
78,0,5
78,1,46
78,2,100
79,0,17
79,1,73
79,2,41
80,0,93
80,1,53
80,2,33
81,0,49
81,1,64
81,2,57
82,0,23
82,1,66
82,2,66
83,0,16
83,1,96
83,2,71
84,0,94
84,1,64
84,2,0
85,0,40
85,1,36
85,2,99
86,0,11
86,1,32
86,2,43
87,0,25
87,1,34
87,2,75
88,0,58
88,1,33
88,2,82
89,0,45
89,1,51
89,2,25
90,0,37
90,1,90
90,2,58
91,0,52
91,1,35
91,2,47
92,0,80
92,1,3
92,2,11
93,0,75
93,1,24
93,2,51
94,0,80
94,1,85
94,2,84
95,0,51
95,1,65
95,2,0
96,0,70
96,1,45
96,2,44
97,0,74
97,1,7
97,2,3
98,0,53
98,1,12
98,2,31
99,0,89
99,1,33
99,2,62
100,0,79
100,1,15
100,2,58
101,0,59
101,1,8
101,2,37
102,0,94
102,1,50
