1,0,15
2,1,16
3,2,19
4,3,18
4,585
5,0,14
6,1,17
7,2,13
8,3,7
8,461
9,0,13
10,1,17
11,2,23
12,3,11
12,371
13,0,14
14,1,14
15,2,13
16,3,4
16,713
17,0,16
18,1,16
19,2,13
20,3,6
20,438
21,0,13
22,1,19
23,2,17
24,3,12
24,471
25,0,16
26,1,20
27,2,12
28,3,17
28,396
29,0,7
30,1,23
31,2,21
32,3,15
32,513
33,0,15
34,1,14
35,2,18
36,3,7
36,271
37,0,12
38,1,18
39,2,23
40,3,8
40,647
41,0,11
42,1,17
43,2,25
44,3,12
44,409
45,0,9
46,1,16
47,2,21
48,3,8
48,494
49,0,12
50,1,12
51,2,16
52,3,12
52,614
53,0,17
54,1,17
55,2,14
56,3,11
56,530
57,0,8
58,1,16
59,2,20
60,3,10
60,257
61,0,7
62,1,14
63,2,20
64,3,10
64,621
65,0,8
66,1,20
67,2,14
68,3,9
68,722
69,0,10
70,1,17
71,2,18
72,3,9
72,739
73,0,12
74,1,13
75,2,22
76,3,11
76,732
77,0,12
78,1,25
79,2,14
80,3,5
80,677
81,0,9
82,1,15
83,2,17
84,3,13
84,933
85,0,17
86,1,14
87,2,18
88,3,9
88,477
89,0,6
90,1,18
91,2,21
92,3,10
92,770
93,0,11
94,1,20
95,2,23
96,3,6
96,752
97,0,10
98,1,21
99,2,15
100,3,14
100,581
101,0,10
102,1,19
103,2,12
104,3,17
104,840
105,0,12
106,1,23
107,2,21
108,3,14
108,522
109,0,15
110,1,15
111,2,22
112,3,8
112,424
113,0,11
114,1,18
115,2,24
116,3,13
116,403
117,0,9
118,1,16
119,2,24
120,3,11
120,149
121,0,19
122,1,21
123,2,18
124,3,6
124,583
125,0,13
126,1,15
127,2,18
128,3,9
128,803
129,0,15
130,1,19
131,2,18
132,3,12
132,462
133,0,8
134,1,14
135,2,18
136,3,13
136,858
137,0,11
138,1,15
139,2,20
140,3,13
140,736
141,0,13
142,1,12
143,2,15
144,3,11
144,596
145,0,10
146,1,15
147,2,9
148,3,8
148,789
149,0,16
150,1,18
151,2,19
152,3,15
152,313
153,0,4
154,1,18
155,2,17
156,3,13
156,846
157,0,17
158,1,10
159,2,17
160,3,13
160,208
161,0,10
162,1,12
163,2,25
164,3,12
164,316
165,0,11
166,1,12
167,2,22
168,3,9
168,361
169,0,15
170,1,17
171,2,20
172,3,11
172,246
173,0,15
174,1,13
175,2,16
176,3,15
176,657
177,0,14
178,1,18
179,2,15
180,3,9
180,450
181,0,14
182,1,15
183,2,19
184,3,12
184,353
185,0,13
186,1,15
187,2,19
188,3,16
188,763
189,0,18
190,1,19
191,2,21
192,3,17
192,355
193,0,13
194,1,10
195,2,18
196,3,12
196,446
197,0,15
198,1,15
199,2,15
200,3,8
200,800
201,0,9
202,1,12
203,2,18
204,3,15
204,457
205,0,11
206,1,15
207,2,12
208,3,11
208,614
209,0,11
210,1,21
211,2,18
212,3,15
212,508
213,0,10
214,1,17
215,2,22
216,3,9
216,745
217,0,14
218,1,14
219,2,24
220,3,9
220,774
221,0,16
222,1,15
223,2,11
224,3,7
224,504
225,0,13
226,1,17
227,2,17
228,3,12
228,271
229,0,11
230,1,19
231,2,14
232,3,13
232,386
233,0,16
234,1,12
235,2,13
236,3,14
236,407
237,0,11
238,1,13
239,2,11
240,3,11
240,573
241,0,18
242,1,19
243,2,17
244,3,11
244,581
245,0,16
246,1,18
247,2,16
248,3,5
248,390
249,0,9
250,1,23
251,2,19
252,3,9
252,285
253,0,10
254,1,22
255,2,16
256,3,6
256,491
257,0,13
258,1,19
259,2,16
260,3,10
260,751
261,0,15
262,1,14
263,2,14
264,3,11
264,579
265,0,12
266,1,12
267,2,18
268,3,9
268,579
269,0,15
270,1,10
271,2,14
272,3,15
272,327
273,0,18
274,1,15
275,2,13
276,3,9
276,560
277,0,12
278,1,27
279,2,21
280,3,12
280,52
281,0,12
282,1,15
283,2,12
284,3,8
284,782
285,0,9
286,1,20
287,2,12
288,3,8
288,504
289,0,13
290,1,13
291,2,22
292,3,17
292,383
293,0,14
294,1,20
295,2,12
296,3,11
296,436
297,0,8
298,1,19
299,2,14
300,3,9
300,426
301,0,17
302,1,16
303,2,11
304,3,14
304,430
305,0,17
306,1,21
307,2,11
308,3,8
308,440
309,0,14
310,1,11
311,2,20
312,3,10
312,486
313,0,16
314,1,17
315,2,21
316,3,10
316,294
317,0,9
318,1,17
319,2,20
320,3,14
320,814
321,0,14
322,1,18
323,2,18
324,3,4
324,589
325,0,19
326,1,17
327,2,14
328,3,9
328,373
329,0,11
330,1,21
331,2,18
332,3,15
332,575
333,0,8
334,1,16
335,2,16
336,3,12
336,605
337,0,15
338,1,16
339,2,11
340,3,9
340,350
341,0,17
342,1,7
343,2,15
344,3,15
344,815
345,0,12
346,1,11
347,2,13
348,3,14
348,720
349,0,17
350,1,12
351,2,13
352,3,13
352,370
353,0,12
354,1,13
355,2,15
356,3,10
356,1154
357,0,14
358,1,18
359,2,17
360,3,10
360,323
361,0,13
362,1,21
363,2,21
364,3,10
364,856
365,0,14
366,1,16
367,2,20
368,3,13
368,338
369,0,10
370,1,16
371,2,18
372,3,10
372,793
373,0,10
374,1,19
375,2,21
376,3,4
376,401
377,0,13
378,1,19
379,2,6
380,3,16
380,397
381,0,15
382,1,15
383,2,20
384,3,5
384,665
385,0,17
386,1,17
387,2,10
388,3,7
388,906
389,0,19
390,1,11
391,2,18
392,3,14
392,267
393,0,9
394,1,16
395,2,19
396,3,11
396,350
397,0,10
398,1,18
399,2,15
400,3,8
400,460
401,0,13
402,1,17
403,2,19
404,3,10
404,299
405,0,13
406,1,13
407,2,14
408,3,16
408,540
409,0,10
410,1,15
411,2,19
412,3,13
412,612
413,0,7
414,1,11
415,2,8
416,3,13
416,913
417,0,15
418,1,23
419,2,10
420,3,12
420,585
421,0,15
422,1,15
423,2,14
424,3,12
424,546
425,0,11
426,1,18
427,2,16
428,3,8
428,394
429,0,9
430,1,22
431,2,19
432,3,13
432,481
433,0,15
434,1,20
435,2,17
436,3,5
436,354
437,0,12
438,1,14
439,2,17
440,3,11
440,460
441,0,16
442,1,13
443,2,20
444,3,12
444,384
445,0,10
446,1,12
447,2,16
448,3,7
448,735
449,0,15
450,1,23
451,2,12
452,3,11
452,581
453,0,15
454,1,9
455,2,14
456,3,7
456,657
457,0,13
458,1,13
459,2,11
460,3,12
460,328
461,0,14
462,1,21
463,2,18
464,3,10
464,360
465,0,15
466,1,16
467,2,18
468,3,4
468,329
469,0,11
470,1,14
471,2,15
472,3,15
472,399
473,0,13
474,1,23
475,2,7
476,3,11
476,196
477,0,14
478,1,12
479,2,20
480,3,11
480,568
481,0,16
482,1,11
483,2,21
484,3,11
484,497
485,0,14
486,1,11
487,2,17
488,3,10
488,635
489,0,6
490,1,17
491,2,15
492,3,14
492,477
493,0,11
494,1,21
495,2,20
496,3,8
496,293
497,0,6
498,1,14
499,2,19
500,3,11
500,498
501,0,10
502,1,10
503,2,20
504,3,8
504,360
505,0,14
506,1,25
507,2,18
508,3,7
508,475
509,0,13
510,1,15
511,2,21
512,3,12
512,301
513,0,8
514,1,17
515,2,18
516,3,13
516,298
517,0,16
518,1,25
519,2,12
520,3,8
520,466
521,0,17
522,1,13
523,2,14
524,3,8
524,281
525,0,11
526,1,19
527,2,16
528,3,10
528,439
529,0,14
530,1,17
531,2,18
532,3,11
532,444
533,0,17
534,1,10
535,2,14
536,3,13
536,489
537,0,9
538,1,17
539,2,16
540,3,13
540,377
541,0,12
542,1,14
543,2,13
544,3,11
544,524
545,0,12
546,1,19
547,2,19
548,3,8
548,344
549,0,9
550,1,17
551,2,21
552,3,19
552,213
553,0,13
554,1,17
555,2,25
556,3,9
556,433
557,0,14
558,1,21
559,2,19
560,3,9
560,418
561,0,8
562,1,16
563,2,22
564,3,18
564,569
565,0,8
566,1,14
567,2,23
568,3,9
568,367
569,0,12
570,1,11
571,2,19
572,3,16
572,390
573,0,10
574,1,14
575,2,15
576,3,14
576,440
577,0,11
578,1,16
579,2,19
580,3,13
580,905
581,0,7
582,1,18
583,2,16
584,3,7
584,561
585,0,12
586,1,19
587,2,12
588,3,12
588,676
589,0,10
590,1,17
591,2,15
592,3,9
592,521
593,0,11
594,1,11
595,2,21
596,3,11
596,476
597,0,12
598,1,11
599,2,16
600,3,16
600,401
601,0,10
602,1,13
603,2,11
604,3,11
604,358
605,0,8
606,1,15
607,2,17
608,3,9
608,633
609,0,12
610,1,18
611,2,19
612,3,9
612,284
613,0,14
614,1,15
615,2,13
616,3,15
616,304
617,0,12
618,1,14
619,2,10
620,3,13
620,517
621,0,14
622,1,24
623,2,9
624,3,7
624,675
625,0,12
626,1,19
627,2,12
628,3,8
628,580
629,0,17
630,1,12
631,2,14
632,3,15
632,427
633,0,11
634,1,13
635,2,22
636,3,11
636,630
637,0,17
638,1,16
639,2,24
640,3,6
640,566
641,0,9
642,1,14
643,2,23
644,3,12
644,679
645,0,12
646,1,13
647,2,22
648,3,12
648,342
649,0,12
650,1,14
651,2,19
652,3,9
652,350
653,0,12
654,1,20
655,2,19
656,3,10
656,241
657,0,6
658,1,13
659,2,16
660,3,13
660,401
661,0,9
662,1,16
663,2,16
664,3,15
664,390
665,0,11
666,1,20
667,2,16
668,3,10
668,80
669,0,14
670,1,17
671,2,14
672,3,9
672,509
673,0,13
674,1,14
675,2,21
676,3,17
676,280
677,0,8
678,1,16
679,2,21
680,3,11
680,249
681,0,15
682,1,8
683,2,17
684,3,13
684,769
685,0,15
686,1,22
687,2,13
688,3,7
688,743
689,0,19
690,1,16
691,2,27
692,3,13
692,571
693,0,13
694,1,24
695,2,25
696,3,8
696,507
697,0,16
698,1,18
699,2,20
700,3,8
700,429
701,0,12
702,1,21
703,2,21
704,3,8
704,715
705,0,11
706,1,16
707,2,21
708,3,11
708,429
709,0,17
710,1,19
711,2,16
712,3,8
712,603
713,0,12
714,1,14
715,2,18
716,3,11
716,337
717,0,17
718,1,19
719,2,14
720,3,10
720,814
721,0,6
722,1,22
723,2,22
724,3,8
724,434
725,0,7
726,1,8
727,2,22
728,3,9
728,441
729,0,12
730,1,14
731,2,11
732,3,7
732,502
733,0,20
734,1,18
735,2,8
736,3,6
736,572
737,0,15
738,1,18
739,2,14
740,3,7
740,595
741,0,9
742,1,18
743,2,19
744,3,12
744,288
745,0,16
746,1,15
747,2,19
748,3,9
748,510
749,0,12
750,1,12
751,2,9
752,3,8
752,154
753,0,12
754,1,14
755,2,17
756,3,9
756,249
757,0,11
758,1,19
759,2,18
760,3,12
760,371
761,0,16
762,1,15
763,2,11
764,3,13
764,480
