Step,Agent_ID,Action
1,0,32
1,1,34
1,2,36
2,0,60
2,1,65
2,2,98
3,0,82
3,1,78
3,2,49
4,0,17
4,1,100
4,2,32
5,0,25
5,1,68
5,2,52
6,0,3
6,1,59
6,2,28
7,0,67
7,1,35
7,2,2
8,0,8
8,1,15
8,2,0
9,0,24
9,1,9
9,2,52
10,0,56
10,1,61
10,2,13
11,0,24
11,1,46
11,2,55
12,0,40
12,1,71
12,2,29
13,0,92
13,1,1
13,2,10
14,0,46
14,1,77
14,2,15
15,0,19
15,1,96
15,2,55
16,0,49
16,1,32
16,2,52
17,0,58
17,1,21
17,2,97
18,0,12
18,1,32
18,2,13
19,0,34
19,1,97
19,2,73
20,0,80
20,1,50
20,2,49
21,0,76
21,1,16
21,2,45
22,0,68
22,1,87
22,2,26
23,0,10
23,1,42
23,2,85
24,0,62
24,1,65
24,2,18
25,0,41
25,1,10
25,2,35
26,0,50
26,1,90
26,2,80
27,0,44
27,1,91
27,2,85
28,0,36
28,1,49
28,2,99
29,0,1
29,1,34
29,2,82
30,0,75
30,1,70
30,2,76
31,0,83
31,1,83
31,2,85
32,0,95
32,1,42
32,2,66
33,0,15
33,1,13
33,2,29
34,0,46
34,1,41
34,2,14
35,0,69
35,1,7
35,2,49
36,0,77
36,1,50
36,2,73
37,0,44
37,1,42
37,2,11
38,0,69
38,1,26
38,2,46
39,0,1
39,1,22
39,2,17
40,0,34
40,1,65
40,2,9
41,0,1
41,1,101
41,2,4
42,0,49
42,1,45
42,2,24
43,0,23
43,1,16
43,2,77
44,0,39
44,1,98
44,2,24
45,0,98
45,1,32
45,2,1
46,0,40
46,1,27
46,2,98
47,0,3
47,1,95
47,2,55
48,0,59
48,1,63
48,2,35
49,0,2
49,1,94
49,2,60
50,0,40
50,1,30
50,2,32
51,0,53
51,1,28
51,2,75
52,0,101
52,1,80
52,2,62
53,0,44
53,1,87
53,2,59
54,0,98
54,1,15
54,2,16
55,0,62
55,1,32
55,2,53
56,0,59
56,1,89
56,2,22
57,0,26
57,1,64
57,2,15
58,0,2
58,1,94
58,2,76
59,0,96
59,1,27
59,2,41
60,0,60
60,1,86
60,2,60
61,0,73
61,1,47
61,2,32
62,0,65
62,1,97
62,2,6
63,0,83
63,1,70
63,2,0
64,0,8
64,1,86
64,2,23
65,0,12
65,1,36
65,2,0
66,0,56
66,1,24
66,2,63
67,0,31
67,1,23
67,2,33
68,0,79
68,1,36
68,2,50
69,0,10
69,1,6
69,2,14
70,0,18
70,1,85
70,2,74
71,0,87
71,1,4
71,2,100
72,0,10
72,1,52
72,2,72
73,0,12
73,1,93
73,2,13
74,0,0
74,1,74
74,2,74
75,0,27
75,1,23
75,2,3
76,0,62
76,1,75
76,2,61
77,0,87
77,1,99
77,2,94
78,0,46
78,1,53
78,2,31
79,0,24
79,1,7
79,2,73
80,0,56
80,1,39
80,2,92
81,0,56
81,1,15
81,2,82
82,0,49
82,1,29
82,2,86
83,0,60
83,1,34
83,2,5
84,0,100
84,1,52
84,2,64
85,0,76
85,1,14
85,2,91
86,0,69
86,1,50
86,2,64
87,0,99
87,1,48
87,2,47
88,0,39
88,1,22
88,2,27
89,0,82
89,1,101
89,2,100
90,0,25
90,1,5
90,2,64
91,0,56
91,1,18
91,2,100
92,0,83
92,1,72
92,2,91
93,0,9
93,1,86
93,2,3
94,0,68
94,1,17
94,2,81
95,0,69
95,1,20
95,2,4
96,0,22
96,1,77
96,2,61
97,0,54
97,1,33
97,2,60
98,0,31
98,1,43
98,2,23
99,0,49
99,1,74
99,2,35
100,0,41
100,1,43
100,2,36
101,0,46
101,1,6
101,2,71
102,0,81
102,1,100
102,2,82
103,0,44
103,1,68
103,2,4
104,0,44
104,1,41
104,2,58
105,0,60
105,1,24
105,2,36
106,0,65
106,1,7
106,2,62
107,0,46
107,1,94
107,2,82
108,0,43
108,1,93
108,2,34
109,0,7
109,1,87
109,2,7
110,0,11
110,1,8
110,2,34
111,0,82
111,1,48
111,2,71
112,0,100
112,1,27
112,2,54
113,0,12
113,1,56
113,2,13
114,0,90
114,1,14
114,2,67
115,0,76
115,1,45
115,2,80
116,0,80
116,1,48
116,2,27
117,0,79
117,1,91
117,2,22
118,0,65
118,1,15
118,2,10
119,0,32
119,1,82
119,2,14
120,0,37
120,1,31
120,2,65
121,0,60
121,1,89
121,2,64
122,0,101
122,1,5
122,2,100
123,0,97
123,1,86
123,2,51
124,0,24
124,1,18
124,2,79
125,0,47
125,1,62
125,2,84
126,0,6
126,1,86
126,2,47
127,0,49
127,1,2
127,2,20
128,0,18
128,1,34
128,2,90
129,0,21
129,1,28
129,2,45
130,0,25
130,1,67
130,2,8
131,0,9
131,1,8
131,2,24
132,0,10
132,1,3
132,2,86
133,0,89
133,1,94
133,2,95
134,0,38
134,1,98
134,2,43
135,0,19
135,1,67
135,2,51
136,0,28
136,1,46
136,2,91
137,0,50
137,1,74
137,2,86
138,0,40
138,1,6
138,2,61
139,0,77
139,1,71
139,2,2
140,0,61
140,1,64
140,2,82
141,0,20
141,1,52
141,2,70
142,0,27
142,1,21
142,2,86
143,0,24
143,1,88
143,2,48
144,0,87
144,1,78
144,2,31
145,0,66
145,1,66
145,2,60
146,0,99
146,1,29
146,2,98
147,0,79
147,1,68
147,2,54
148,0,86
148,1,24
148,2,48
149,0,81
149,1,77
149,2,5
150,0,44
150,1,52
150,2,15
151,0,99
151,1,3
151,2,39
152,0,38
152,1,91
152,2,57
153,0,82
153,1,57
153,2,15
154,0,73
154,1,98
154,2,61
155,0,12
155,1,71
155,2,60
156,0,46
156,1,18
156,2,56
157,0,81
157,1,5
157,2,38
158,0,4
158,1,46
158,2,83
159,0,89
159,1,98
159,2,15
160,0,46
160,1,25
160,2,65
161,0,16
161,1,61
161,2,18
162,0,3
162,1,26
162,2,86
163,0,17
163,1,38
163,2,62
164,0,15
164,1,28
164,2,38
165,0,53
165,1,41
165,2,29
166,0,90
166,1,57
166,2,78
167,0,42
167,1,38
167,2,68
168,0,56
168,1,59
168,2,61
169,0,33
169,1,83
169,2,97
170,0,63
170,1,89
170,2,39
171,0,98
171,1,94
171,2,84
172,0,23
172,1,85
172,2,61
173,0,26
173,1,22
173,2,64
174,0,75
174,1,88
174,2,50
175,0,15
175,1,30
175,2,32
176,0,80
176,1,63
176,2,96
177,0,54
177,1,79
177,2,15
178,0,40
178,1,72
178,2,11
179,0,23
179,1,42
179,2,51
180,0,60
180,1,63
180,2,70
181,0,62
181,1,25
181,2,9
182,0,9
182,1,51
182,2,9
183,0,70
183,1,42
183,2,33
184,0,41
184,1,85
184,2,17
185,0,51
185,1,22
185,2,51
186,0,19
186,1,51
186,2,0
187,0,27
187,1,33
187,2,14
188,0,30
188,1,87
188,2,30
189,0,98
189,1,94
189,2,43
190,0,17
190,1,44
190,2,29
191,0,59
191,1,61
191,2,92
192,0,50
192,1,32
192,2,52
193,0,84
193,1,46
193,2,94
194,0,12
194,1,0
194,2,27
195,0,44
195,1,74
195,2,24
196,0,81
196,1,94
196,2,20
197,0,63
197,1,23
197,2,101
198,0,79
198,1,4
198,2,64
199,0,14
199,1,80
199,2,85
200,0,9
200,1,71
200,2,50
201,0,56
201,1,80
201,2,89
202,0,86
202,1,7
202,2,72
203,0,86
203,1,83
203,2,13
204,0,40
204,1,34
204,2,74
205,0,44
205,1,37
205,2,70
206,0,4
206,1,30
206,2,34
207,0,10
207,1,10
207,2,52
208,0,71
208,1,8
208,2,92
209,0,101
209,1,85
209,2,80
210,0,84
210,1,65
210,2,42
211,0,43
211,1,75
211,2,22
212,0,87
212,1,32
212,2,64
213,0,52
213,1,57
213,2,100
214,0,18
214,1,93
214,2,63
215,0,79
215,1,43
215,2,86
216,0,33
216,1,25
216,2,47
217,0,42
217,1,87
217,2,56
218,0,62
218,1,67
218,2,62
219,0,42
219,1,10
219,2,84
220,0,10
220,1,53
220,2,4
221,0,30
221,1,87
221,2,16
222,0,31
222,1,19
222,2,57
223,0,4
223,1,6
223,2,99
224,0,100
224,1,48
224,2,52
225,0,45
225,1,57
225,2,86
226,0,48
226,1,6
226,2,78
227,0,69
227,1,13
227,2,14
228,0,75
228,1,54
228,2,70
229,0,31
229,1,33
229,2,3
230,0,1
230,1,74
230,2,98
231,0,89
231,1,83
231,2,42
232,0,8
232,1,97
232,2,41
233,0,97
233,1,84
233,2,49
234,0,10
234,1,13
234,2,98
235,0,79
235,1,74
235,2,94
236,0,5
236,1,46
236,2,25
237,0,48
237,1,46
237,2,35
238,0,76
238,1,26
238,2,19
239,0,80
239,1,48
239,2,62
240,0,6
240,1,48
240,2,67
241,0,61
241,1,41
241,2,67
242,0,5
242,1,64
242,2,52
243,0,26
243,1,58
243,2,88
244,0,75
244,1,22
244,2,58
245,0,52
245,1,35
245,2,18
246,0,61
246,1,70
246,2,42
247,0,90
247,1,23
247,2,91
248,0,79
248,1,101
248,2,94
249,0,41
249,1,32
249,2,39
250,0,8
250,1,30
250,2,88
251,0,10
251,1,29
251,2,21
252,0,49
252,1,84
252,2,53
253,0,72
253,1,79
253,2,98
254,0,3
254,1,19
254,2,72
255,0,37
255,1,89
255,2,31
256,0,31
256,1,16
256,2,74
257,0,76
257,1,56
257,2,61
258,0,59
258,1,94
258,2,61
259,0,94
259,1,36
259,2,98
260,0,16
260,1,26
260,2,70
261,0,76
261,1,36
261,2,39
262,0,88
262,1,4
262,2,1
263,0,80
263,1,46
263,2,88
264,0,86
264,1,24
264,2,18
265,0,64
265,1,94
265,2,84
266,0,94
266,1,69
266,2,34
267,0,6
267,1,38
267,2,73
268,0,89
268,1,82
268,2,47
269,0,65
269,1,82
269,2,20
270,0,37
270,1,21
270,2,56
271,0,101
271,1,1
271,2,28
272,0,1
272,1,8
272,2,72
273,0,5
273,1,85
273,2,63
274,0,52
274,1,14
274,2,57
275,0,25
275,1,74
275,2,16
276,0,13
276,1,57
276,2,82
277,0,44
277,1,73
277,2,32
278,0,1
278,1,18
278,2,74
279,0,39
279,1,81
279,2,17
280,0,65
280,1,90
280,2,79
281,0,17
281,1,35
281,2,51
282,0,57
282,1,58
282,2,96
283,0,25
283,1,46
283,2,77
284,0,75
284,1,9
284,2,70
285,0,42
285,1,96
285,2,22
286,0,51
286,1,59
286,2,43
287,0,82
287,1,86
287,2,27
288,0,62
288,1,92
288,2,3
289,0,77
289,1,90
289,2,22
290,0,3
290,1,44
290,2,40
291,0,17
291,1,10
291,2,25
292,0,7
292,1,48
292,2,91
293,0,81
293,1,22
293,2,71
294,0,13
294,1,16
294,2,55
295,0,60
295,1,93
295,2,82
296,0,6
296,1,40
296,2,83
297,0,56
297,1,13
297,2,60
298,0,75
298,1,98
298,2,63
299,0,73
299,1,39
299,2,64
300,0,9
300,1,82
300,2,47
301,0,67
301,1,75
301,2,11
302,0,3
302,1,50
302,2,0
303,0,22
303,1,67
303,2,17
304,0,87
304,1,27
304,2,32
305,0,22
305,1,61
305,2,0
306,0,65
306,1,71
306,2,50
307,0,48
307,1,2
307,2,3
308,0,34
308,1,10
308,2,14
309,0,83
309,1,43
309,2,25
310,0,1
310,1,54
310,2,83
311,0,43
311,1,26
311,2,75
312,0,33
312,1,96
312,2,97
313,0,26
313,1,57
313,2,87
314,0,98
314,1,68
314,2,57
315,0,91
315,1,31
315,2,69
316,0,1
316,1,70
316,2,74
317,0,74
317,1,6
317,2,14
318,0,17
318,1,7
318,2,26
319,0,99
319,1,72
319,2,67
320,0,58
320,1,8
320,2,72
321,0,10
321,1,43
